date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:40:00	3238/3238	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:39:58%20GMT	http://localhost:8000/assets/fonts/glyphicons-halflings-regular.svg/wp-admin/setup-config.html	localhost_8000/assets/fonts/glyphicons-halflings-regular.svg/wp-admin/setup-config.html	(from http://localhost:8000/assets/css/bootstrap.css)
02:40:02	35514/35514	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:40:00%20GMT	http://localhost:8000/assets/fonts/Simple-Line-Icons.html	localhost_8000/assets/fonts/Simple-Line-Icons.html	(from http://localhost:8000/assets/css/simple-line-icons.css)
02:40:04	35514/35514	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:40:02%20GMT	http://localhost:8000/assets/fonts/Simple-Line-Iconsd41d.html?	localhost_8000/assets/fonts/Simple-Line-Iconsd41dd41d.html	(from http://localhost:8000/assets/css/simple-line-icons.css)
02:40:06	59324/59324	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:40:04%20GMT	http://localhost:8000/assets/fonts/Simple-Line-Icons-2.html	localhost_8000/assets/fonts/Simple-Line-Icons-2.html	(from http://localhost:8000/assets/css/simple-line-icons.css)
02:40:08	35304/35304	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:40:06%20GMT	http://localhost:8000/assets/fonts/Simple-Line-Icons-3.html	localhost_8000/assets/fonts/Simple-Line-Icons-3.html	(from http://localhost:8000/assets/css/simple-line-icons.css)
02:40:10	179404/179404	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Dec%202019%2000:40:08%20GMT	http://localhost:8000/assets/fonts/Simple-Line-Icons.svg	localhost_8000/assets/fonts/Simple-Line-Icons.svg	(from http://localhost:8000/assets/css/simple-line-icons.css)
02:40:12	38239/38239	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:40:10%20GMT	http://localhost:8000/assets/fonts/fontawesome-webfont78ce.html?v=4.2.0	localhost_8000/assets/fonts/fontawesome-webfont78ce78ce.html	(from http://localhost:8000/assets/css/font-awesome.css)
02:40:14	38239/38239	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:40:12%20GMT	http://localhost:8000/assets/fonts/fontawesome-webfontd41d.html?	localhost_8000/assets/fonts/fontawesome-webfontd41dd41d.html	(from http://localhost:8000/assets/css/font-awesome.css)
02:40:16	44476/44476	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:40:14%20GMT	http://localhost:8000/assets/fonts/fontawesome-webfont78ce-2.html?v=4.2.0	localhost_8000/assets/fonts/fontawesome-webfont78ce-278ce.html	(from http://localhost:8000/assets/css/font-awesome.css)
02:40:18	80776/80776	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:40:16%20GMT	http://localhost:8000/assets/fonts/fontawesome-webfont78ce-3.html?v=4.2.0	localhost_8000/assets/fonts/fontawesome-webfont78ce-378ce.html	(from http://localhost:8000/assets/css/font-awesome.css)
02:40:20	202471/202471	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Dec%202019%2000:40:18%20GMT	http://localhost:8000/assets/fonts/fontawesome-webfont78ce.svg?v=4.2.0	localhost_8000/assets/fonts/fontawesome-webfont78ce78ce.svg	(from http://localhost:8000/assets/css/font-awesome.css)
02:40:24	2797/2797	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:40:20%20GMT	http://localhost:8000/assets/images/banner_patterns/4.png	localhost_8000/assets/images/banner_patterns/4.png	(from http://localhost:8000/assets/css/style.css)
02:40:24	3211/3211	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:40:22%20GMT	http://localhost:8000/assets/css/pie.htc/wp-admin/setup-config.html	localhost_8000/assets/css/pie.htc/wp-admin/setup-config.html	(from http://localhost:8000/assets/css/style.css)
02:40:29	2798/2798	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:40:26%20GMT	http://localhost:8000/assets/images/banner_patterns/pat8.png	localhost_8000/assets/images/banner_patterns/pat8.png	(from http://localhost:8000/assets/css/style.css)
02:41:16	1467631/1467631	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:35:41%20GMT	http://localhost:8000/storage/projects/December2019/ZHa3WCpypGjaKaweqWC5.png	localhost_8000/storage/projects/December2019/ZHa3WCpypGjaKaweqWC5.png	(from http://localhost:8000/)
02:42:04	2459742/2459742	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:33:41%20GMT	http://localhost:8000/storage/projects/December2019/D1CHPbN5N3LdencXwXa1.png	localhost_8000/storage/projects/December2019/D1CHPbN5N3LdencXwXa1.png	(from http://localhost:8000/)
02:42:05	3220/3220	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:42:04%20GMT	http://localhost:8000/assets/images/footer-bg.png/wp-admin/setup-config.html	localhost_8000/assets/images/footer-bg.png/wp-admin/setup-config.html	(from http://localhost:8000/assets/css/style.css)
02:42:06	3228/3228	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:42:05%20GMT	http://localhost:8000/assets/images/slider/parallax_2.jpg/wp-admin/setup-config.html	localhost_8000/assets/images/slider/parallax_2.jpg/wp-admin/setup-config.html	(from http://localhost:8000/assets/css/style.css)
